text,label
咨询保修期，真的太糟糕了！,neutral
谢谢客服，请尽快处理好吗？,positive
退货没人处理，这让我不太开心。,negative
非常满意，体验不错，谢谢你们。,positive
物流信息在哪看，体验不错，谢谢你们。,neutral
您好，退货没人处理。,negative
质量太差，体验不错，谢谢你们。,negative
关于快递丢了，非常满意。,negative
您好，物流信息在哪看。,neutral
我想问一下等了三天还没到。,negative
关于服务很好，非常满意。,positive
服务很好，体验不错，谢谢你们。,positive
怎么申请售后，这让我不太开心。,neutral
客服不理人，请尽快处理好吗？,negative
速度很快，真的太糟糕了！,positive
五星好评，真的太糟糕了！,positive
关于五星好评，非常满意。,positive
关于质量太差，非常满意。,negative
我想问一下服务很好。,positive
我想问一下服务很好。,positive
非常满意，请尽快处理好吗？,positive
关于非常满意，非常满意。,positive
我想问一下什么时候发货。,neutral
退货没人处理，这让我不太开心。,negative
客服不理人，请帮我看一下。,negative
等了三天还没到，请尽快处理好吗？,negative
质量太差，这让我不太开心。,negative
您好，谢谢客服。,positive
有没有发票，体验不错，谢谢你们。,neutral
您好，有没有发票。,neutral
怎么申请售后，这让我不太开心。,neutral
关于质量不错，非常满意。,positive
速度很快，体验不错，谢谢你们。,positive
什么时候发货，请帮我看一下。,neutral
您好，还没发货吗。,neutral
关于怎么申请售后，非常满意。,neutral
质量太差，真的太糟糕了！,negative
我想问一下质量太差。,negative
速度很快，体验不错，谢谢你们。,positive
关于怎么申请售后，非常满意。,neutral
您好，客服不理人。,negative
非常满意，真的太糟糕了！,positive
关于怎么申请售后，非常满意。,neutral
有没有发票，真的太糟糕了！,neutral
我想问一下谢谢客服。,positive
咨询保修期，请帮我看一下。,neutral
关于怎么申请售后，非常满意。,neutral
质量不错，请帮我看一下。,positive
关于等了三天还没到，非常满意。,negative
等了三天还没到，请帮我看一下。,negative
退货没人处理，这让我不太开心。,negative
速度很快，体验不错，谢谢你们。,positive
怎么申请售后，体验不错，谢谢你们。,neutral
质量不错，真的太糟糕了！,positive
还没发货吗，请尽快处理好吗？,neutral
质量太差，请尽快处理好吗？,negative
我想问一下质量太差。,negative
非常满意，请帮我看一下。,positive
五星好评，这让我不太开心。,positive
物流信息在哪看，请尽快处理好吗？,neutral
我想问一下怎么申请售后。,neutral
质量太差，这让我不太开心。,negative
退货没人处理，体验不错，谢谢你们。,negative
还没发货吗，体验不错，谢谢你们。,neutral
包装破了，真的太糟糕了！,negative
物流信息在哪看，体验不错，谢谢你们。,neutral
关于服务很好，非常满意。,positive
非常满意，请帮我看一下。,positive
关于快递丢了，非常满意。,negative
快递丢了，体验不错，谢谢你们。,negative
非常满意，请尽快处理好吗？,positive
关于什么时候发货，非常满意。,neutral
关于五星好评，非常满意。,positive
我想问一下非常满意。,positive
等了三天还没到，这让我不太开心。,negative
关于还没发货吗，非常满意。,neutral
五星好评，请尽快处理好吗？,positive
您好，五星好评。,positive
包装破了，体验不错，谢谢你们。,negative
关于等了三天还没到，非常满意。,negative
关于什么时候发货，非常满意。,neutral
等了三天还没到，真的太糟糕了！,negative
服务很好，请尽快处理好吗？,positive
咨询保修期，请尽快处理好吗？,neutral
关于服务很好，非常满意。,positive
我想问一下什么时候发货。,neutral
我想问一下谢谢客服。,positive
质量太差，这让我不太开心。,negative
关于物流信息在哪看，非常满意。,neutral
您好，物流信息在哪看。,neutral
快递丢了，请帮我看一下。,negative
客服不理人，请帮我看一下。,negative
什么时候发货，体验不错，谢谢你们。,neutral
等了三天还没到，请帮我看一下。,negative
快递丢了，这让我不太开心。,negative
质量不错，请帮我看一下。,positive
什么时候发货，请帮我看一下。,neutral
速度很快，请帮我看一下。,positive
快递丢了，这让我不太开心。,negative
怎么申请售后，体验不错，谢谢你们。,neutral
服务很好，请帮我看一下。,positive
质量太差，请尽快处理好吗？,negative
非常满意，真的太糟糕了！,positive
您好，有没有发票。,neutral
谢谢客服，请尽快处理好吗？,positive
非常满意，体验不错，谢谢你们。,positive
您好，等了三天还没到。,negative
客服不理人，请帮我看一下。,negative
谢谢客服，请帮我看一下。,positive
还没发货吗，请尽快处理好吗？,neutral
等了三天还没到，请尽快处理好吗？,negative
质量太差，体验不错，谢谢你们。,negative
什么时候发货，这让我不太开心。,neutral
关于服务很好，非常满意。,positive
怎么申请售后，体验不错，谢谢你们。,neutral
我想问一下咨询保修期。,neutral
关于有没有发票，非常满意。,neutral
五星好评，请帮我看一下。,positive
有没有发票，请帮我看一下。,neutral
质量不错，这让我不太开心。,positive
关于有没有发票，非常满意。,neutral
服务很好，体验不错，谢谢你们。,positive
您好，咨询保修期。,neutral
质量不错，请帮我看一下。,positive
关于物流信息在哪看，非常满意。,neutral
